PINAR DE CHAMARTIN,1;4;ML1
BAMBU,1
CHAMARTIN,1;10;C1;C2;C3;C3A;C4;C7;C8;C10
PLAZA DE CASTILLA,1;9;10
VALDEACEDERAS,1
TETUAN,1
ESTRECHO,1
ALVARADO,1
CUATRO CAMINOS,1;2;6
RIOS ROSAS,1
IGLESIA,1
BILBAO,1;4
TRIBUNAL,1;10
GRAN VIA,1;5
SOL,1;2;3;C3;C3A;C4
TIRSO DE MOLINA,1
ANTON MARTIN,1
ESTACION DEL ARTE,1
ATOCHA,1;C1;C2;C3;C3A;C4;C5;C7;C8;C10
MENENDEZ PELAYO,1
PACIFICO,1;6
PUENTE DE VALLECAS,1;C2;C7;C8
NUEVA NUMANCIA,1
PORTAZGO,1
BUENOS AIRES,1
ALTO DEL ARENAL,1
MIGUEL HERNANDEZ,1
SIERRA DE GUADALUPE,1;CER
VILLA DE VALLECAS,1
CONGOSTO,1
LA GAVIA,1
LAS SUERTES,1
VALDECARROS,1
LAS ROSAS,2
AVENIDA DE GUADALAJARA,2
ALSACIA,2
LA ALMUDENA,2
LA ELIPA,2
VENTAS,2;5
MANUEL BECERRA,2;6
GOYA,2;4
PRINCIPE DE VERGARA,2;9
RETIRO,2
BANCO DE ESPAÑA,2
SEVILLA,2
OPERA,2;5;R
SANTO DOMINGO,2
NOVICIADO,2;3;10
SAN BERNARDO,2;4
QUEVEDO,2
CANAL,2;7
VILLAVERDE ALTO,3;CER
SAN CRISTOBAL,3
CIUDAD DE LOS ANGELES,3
SAN FERMIN-ORCASUR,3
HOSPITAL 12 DE OCTUBRE,3
ALMENDRALES,3
LEGAZPI,3;6
DELICIAS,3;C1;C10
PALOS DE LA FRONTERA,3
EMBAJADORES,3;5;C5
LAVAPIES,3
CALLAO,3;5
VENTURA RODRIGUEZ,3
ARGÜELLES,3;4;6
MONCLOA,3;6
ALONSO MARTINEZ,4;5;10
COLON,4
SERRANO,4
VELAZQUEZ,4
LISTA,4
DIEGO DE LEON,4;5;6
AVENIDA DE AMERICA,4;6;7;9
PROSPERIDAD,4
ALFONSO XIII,4
AVENIDA DE LA PAZ,4
ARTURO SORIA,4
ESPERANZA,4
CANILLAS,4
MAR DE CRISTAL,4;8
SAN LORENZO,4
